step,Adam,Hybrid v3.9,Global Hybrid
0,212.96472799546143,186.16779274899798,144.43177727099118
1,208.55474376951713,218.91422504392432,119.18007392369647
2,204.04466198654913,148.43892791946053,119.18007392369647
3,199.45242744605224,274.81766036263366,100.36177690544308
4,194.7960149233573,275.7216307570849,100.36177690544308
5,190.09330812827147,297.2718973860134,100.36177690544308
6,185.36192826253918,274.2103612765288,100.36177690544308
7,180.6190250102921,352.9762645095789,100.36177690544308
8,175.8810561426727,364.45794169181727,100.36177690544308
9,171.16359623901462,385.5219714926201,100.36177690544308
10,166.48122548644488,568.2615130343129,100.36177690544308
11,161.84754807996057,530.0047333530517,100.36177690544308
12,157.27536871754478,578.7404030282673,98.37392213970263
13,152.77701472920666,627.4132116444481,89.73698756344538
14,148.36474320347915,580.4717169919857,89.73698756344538
15,144.0511392691082,593.1475358441146,75.70568435565004
16,139.84941071607014,638.3271753777776,75.70568435565004
17,135.77351419981542,625.5372089202681,75.70568435565004
18,131.83809127644068,548.7365223139403,75.70568435565004
19,128.05822860890174,407.53528518768485,75.70568435565004
20,124.44907708354845,425.7333354362612,75.70568435565004
21,121.02537191880722,377.6670856983894,75.70568435565004
22,117.80089664685318,431.8954035532059,68.90914665055311
23,114.78793245718852,504.69565808753487,68.90914665055311
24,111.99673196817889,521.2123448504292,68.90914665055311
25,109.43505271805853,588.9217129571447,68.90914665055311
26,107.10778027747742,641.5441323683414,68.90914665055311
27,105.01666408622526,650.4482182815859,68.90914665055311
28,103.16018133400145,551.2991828852269,68.90914665055311
29,101.53353583030247,506.7540471642865,68.90914665055311
30,100.12879018452247,438.9023712686703,68.90914665055311
31,98.93512118642784,480.7675401788514,68.90914665055311
32,97.93918069362796,582.6539111074542,68.90914665055311
33,97.12553840053954,561.4962843244647,68.90914665055311
34,96.47717929366557,543.0234262195831,68.90914665055311
35,95.97602771626516,457.56962815387465,68.90914665055311
36,95.60347155244227,448.6497772959379,68.90914665055311
37,95.34086341661883,429.54879968695195,68.90914665055311
38,95.16998004154522,360.2139315694718,68.90914665055311
39,95.07342557425375,430.7000559157094,68.90914665055311
40,95.03496880601833,402.05458287192783,68.90914665055311
41,95.03980836748782,425.72582727236073,68.90914665055311
42,95.0747636495703,482.55106325567465,68.90914665055311
43,95.12839268382191,490.32638716520563,68.90914665055311
44,95.19104134669122,517.4788228380678,68.90914665055311
45,95.2548308578865,457.3037812779693,68.90914665055311
46,95.31359242489202,418.9896145114984,68.90914665055311
47,95.36275891905478,436.6378371530544,68.90914665055311
48,95.39922366515088,497.14785670757817,68.90914665055311
49,95.42117593818543,501.20100738021335,68.90914665055311
50,95.42792183466194,540.565617247986,68.90914665055311
51,95.4196980852089,573.0146678863456,68.90914665055311
52,95.3974853106015,676.6963382524856,68.90914665055311
53,95.36282630344195,768.4440387442074,68.90914665055311
54,95.31765414918438,695.537653411239,68.90914665055311
55,95.2641343166738,623.9725802444348,68.90914665055311
56,95.20452415913277,613.2218676567047,66.45221318622055
57,95.14105249916149,565.3631497563829,66.45221318622055
58,95.07582109639142,549.5707277824611,66.45221318622055
59,95.01072883087608,463.54331515417886,66.45221318622055
60,94.9474184307449,363.0601005152091,66.45221318622055
61,94.88724459815289,332.7449912874904,66.45221318622055
62,94.83126151438174,294.43913524642574,66.45221318622055
63,94.78022699635719,281.74584025630315,66.45221318622055
64,94.73462008233773,290.448631076123,66.45221318622055
65,94.69466857593515,255.293816047535,66.45221318622055
66,94.6603830855013,300.5001341832731,66.45221318622055
67,94.6315943462964,275.12908048002754,66.45221318622055
68,94.60799106622001,226.510135424579,66.45221318622055
69,94.58915613021577,297.8598295063217,66.45221318622055
70,94.57459965717177,265.0730885563913,66.45221318622055
71,94.56378804670298,216.73481889268947,66.45221318622055
72,94.55616871175154,171.4441290269994,66.45221318622055
73,94.55119061675902,215.89668227196069,66.45221318622055
74,94.5483210067016,160.9039227426009,66.45221318622055
75,94.54705882285715,182.1404319162591,66.45221318622055
76,94.54694528289416,283.65449556544786,66.45221318622055
77,94.54757199727247,279.0728661570497,66.45221318622055
