step,Adam,Hybrid v3.9,Global Hybrid
0,3613.8390165786814,4200.0719149417255,3529.7919356927737
1,3613.281828181614,4199.8962901671275,3523.561891275911
2,3612.724717795424,4199.645640350451,3522.683055453571
3,3612.1676867905107,4199.343056226138,3516.1930524788895
4,3611.6107365074377,4199.003934089509,3512.8399013530075
5,3611.053868253349,4198.638648028617,3509.3315495734687
6,3610.497083298546,4198.254268919755,3503.880547021572
7,3609.9403828732516,4197.855685932289,3499.343798728464
8,3609.383768164565,4197.446344527861,3492.862101760818
9,3608.8272403136552,4197.028734054436,3489.5535058044215
10,3608.270800413183,4196.604710037462,3486.748028923311
11,3607.714449504993,4196.175706686932,3483.9882032418855
12,3607.1581885780656,4195.742876404732,3477.3235253506537
13,3606.6020185667676,4195.307181136869,3473.1179486991587
14,3606.045940349353,4194.8694533403595,3471.8131757183664
15,3605.489954746781,4194.430443172305,3467.343190526533
16,3604.9340625218133,4193.9908938351855,3464.9103475148054
17,3604.3782643783934,4193.5513029960175,3458.446160160146
18,3603.82256096129,4193.108093859604,3454.064577430413
19,3603.266952856032,4192.661958802077,3450.3403172979324
20,3602.711440589097,4192.21387009372,3442.713230474679
21,3602.1560246283307,4191.764647179576,3439.339881528484
22,3601.600705383612,4191.315100019695,3433.649681096205
23,3601.045483207743,4190.8660563946605,3427.906770394697
24,3600.4903583975242,4190.41836547677,3422.2183944185713
25,3599.935331195018,4189.972894390517,3415.9040343257807
26,3599.380401788992,4189.530521845544,3413.4982950663502
27,3598.825570316496,4189.092129982714,3408.72784883622
28,3598.270836864577,4188.658594808704,3402.016445222003
29,3597.7162014721207,4188.230775425284,3396.85091156571
30,3597.1616641317614,4187.809502300285,3389.1794134045495
31,3596.607224791922,4187.395565021736,3384.476021378715
32,3596.052883358861,4186.989700494602,3380.250941047905
33,3595.498639698826,4186.59258421694,3377.574673696206
34,3594.9444936402006,4186.204834836526,3375.182033997614
35,3594.39044497571,4185.827109039843,3370.522252247295
36,3593.836493464617,4185.45875264903,3366.5456658921585
37,3593.282638834924,4185.096509903233,3363.161813023933
38,3592.7288807855725,4184.740349234986,3356.9092949140368
39,3592.175218988613,4184.38700284463,3353.370085025146
40,3591.621653091354,4184.037561537475,3346.901529779849
41,3591.0681827184817,4183.69268693422,3340.5765378832793
42,3590.514807474125,4183.35290923812,3337.154540277208
43,3589.961526943881,4183.018714313359,3331.77083372797
44,3589.408340696793,4182.690555557816,3327.0665636987565
45,3588.8552482872624,4182.368848284893,3320.356028300829
46,3588.302249256902,4182.0539586876785,3316.9429563552635
47,3587.749343136333,4181.7461908633595,3311.140430576336
48,3587.1965294469055,4181.445773841676,3306.1018793893063
49,3586.6438077023618,4181.1528522845065,3298.351947871488
50,3586.091177410419,4180.8674965743585,3291.448800089109
51,3585.538638074274,4180.5899428858,3288.177465260592
52,3584.98618919408,4180.317405887569,3283.4781429810064
53,3584.4338302682786,4180.047362846895,3279.966489469377
54,3583.881560794924,4179.780019752816,3273.752261417733
55,3583.3293802729027,4179.515103222414,3268.4826594908045
56,3582.7772882030795,4179.2522220339615,3264.135396115241
57,3582.22528408939,4178.9912784640765,3261.3939505092694
58,3581.6733674398456,4178.727713744881,3255.5760737133064
59,3581.1215377674735,4178.455129092222,3251.443934443032
60,3580.569794591187,4178.174086553407,3246.637766409338
61,3580.0181374365925,4177.884426381177,3241.91456476639
62,3579.4665658367294,4177.585850891879,3237.499494261662
63,3578.915079332727,4177.278071349125,3235.2484586429555
64,3578.3636774744336,4176.960847109996,3232.0086145722285
65,3577.812359820949,4176.634000415275,3226.7175458726683
66,3577.2611259411133,4176.29742412584,3223.3640755662827
67,3576.7099754139417,4175.951086738999,3217.6398751951406
68,3576.1589078289944,4175.5950357973425,3212.4702446186093
69,3575.607922786693,4175.2293999227595,3208.653872588721
70,3575.0570198985947,4174.854389477309,3203.633862280186
71,3574.5061987875965,4174.470295818758,3196.8094930247207
72,3573.9554590881235,4174.07748914693,3191.4080686959433
73,3573.404800446235,4173.676414983162,3186.6950559941856
74,3572.8542225197198,4173.267589372972,3182.142378186962
75,3572.303724978127,4172.851592945055,3178.6586302924466
76,3571.753307502776,4172.429063995042,3174.311631379092
77,3571.2029697867197,4172.000690788749,3167.735072832404
78,3570.6527115346703,4171.567203296621,3163.9180176512455
79,3570.102532462913,4171.129364578677,3159.2393716001166
80,3569.552432299166,4170.68796203822,3153.917161111511
81,3569.002410782434,4170.243798753679,3149.680684718529
82,3568.452467662816,4169.797685082347,3145.611097361947
83,3567.9026027013188,4169.350430708808,3140.5095295430465
84,3567.352815669625,4168.902837285884,3137.5087052519666
85,3566.8031063498515,4168.455691788318,3133.383506712081
86,3566.2534745342928,4168.009760670556,3128.6607703961845
87,3565.7039200251565,4167.56578489098,3124.142036131905
88,3565.1544426342734,4167.124475836918,3119.633224363579
89,3564.605042182809,4166.6865121584315,3114.154019246811
90,3564.0557185009557,4166.252537494981,3112.5162229428447
91,3563.50647142763,4165.823159057926,3108.114024638841
92,3562.957300810157,4165.398947013759,3103.926934371446
93,3562.408206503957,4164.980434597932,3096.8432943000234
94,3561.8591883722133,4164.568118877187,3094.147788231179
95,3561.310246285575,4164.162462069169,3088.707607510836
96,3560.761380121815,4163.763893321519,3084.2757114117067
97,3560.212589765528,4163.372810848412,3080.0803966768262
98,3559.663875107806,4162.989584320231,3075.569097747722
99,3559.1152360459328,4162.614557401461,3071.075483869078
100,3558.566672483076,4162.246622405792,3065.964762114526
101,3558.0181843279984,4161.886329886615,3062.4872299412127
102,3557.4697714947392,4161.5341704506955,3057.019125053928
103,3556.9214339023424,4161.190583877359,3051.0137774392333
104,3556.373171474588,4160.855966186878,3046.829410088173
105,3555.8249841396982,4160.530676831425,3042.056464597289
106,3555.2768718300854,4160.215043238853,3036.713184381983
107,3554.7288344821054,4159.909364321484,3031.218550355363
108,3554.1808720357994,4159.613918728366,3025.8495070148983
