step,Adam,Hybrid v3.9,Global Hybrid
0,4305.516383115673,4183.404810128598,3343.8083917631375
1,4305.07528540454,4183.255447778298,3341.860906062377
2,4304.6342432565,4183.045158722525,3336.696368795877
3,4304.193257728443,4182.795855922916,3331.2395303257395
4,4303.752329869542,4182.522453701768,3328.6297992419213
5,4303.311460719182,4182.235125747659,3322.0898482748053
6,4302.870651304948,4181.940824492982,3319.1757508175206
7,4302.429902640698,4181.644300382585,3314.0778862921593
8,4301.989215724718,4181.348784223534,3308.8917983700658
9,4301.548591537982,4181.056443308764,3304.026916680874
10,4301.108031042523,4180.7686870143325,3297.436322267653
11,4300.667535179925,4180.4863767715115,3294.743052570928
12,4300.227104869952,4180.210000344902,3289.532127522294
13,4299.786741009311,4179.939768216297,3284.7046724373686
14,4299.346444470547,4179.671648732543,3280.6288033776923
15,4298.9062161011,4179.404979791209,3277.4528177206416
16,4298.466056722482,4179.139688050406,3273.8516665389297
17,4298.025967129627,4178.875527773862,3267.6812762831723
18,4297.585948090357,4178.610692083986,3263.496969154284
19,4297.146000345003,4178.341092919558,3260.4104591111573
20,4296.706124606152,4178.066886349384,3256.5843928134063
21,4296.266321558531,4177.787804225886,3252.882742655947
22,4295.826591859001,4177.50352505363,3248.0215447146375
23,4295.386936136677,4177.213765593039,3241.1232980450886
24,4294.947354993145,4176.918310421871,3235.912360721287
25,4294.507849002784,4176.617026838313,3233.24600347815
26,4294.068418713173,4176.309874755345,3226.970569723345
27,4293.62906464558,4175.996913912347,3225.245225930097
28,4293.189787295526,4175.678308927281,3221.511262287266
29,4292.750587133394,4175.354332230689,3216.909889164349
30,4292.311464605124,4175.025364806786,3212.560670827362
31,4291.872420132916,4174.691894662934,3208.2645057303703
32,4291.433454116002,4174.354512980548,3202.9210318838986
33,4290.994566931424,4174.013907943412,3197.948271411291
34,4290.555758934849,4173.670856284458,3192.482061917378
35,4290.1170304613925,4173.326212636236,3189.1252450142583
36,4289.678381826456,4172.980896812359,3184.3557566401314
37,4289.239813326557,4172.635879187231,3178.590404595728
38,4288.801325240176,4172.292164379519,3175.1604468714577
39,4288.362917828584,4171.950773481886,3171.9282119631434
40,4287.924591336652,4171.6127251161615,3169.9614323535297
41,4287.486345993674,4171.279015630709,3164.958359164143
42,4287.048182014145,4170.950598797349,3162.2074442142703
43,4286.610099598534,4170.628365414036,3156.356303810023
44,4286.172098934032,4170.313123289824,3152.6020123089106
45,4285.734180195275,4170.005578218549,3146.9682819921522
46,4285.296343545051,4169.706316855579,3142.9366452139557
47,4284.858589134958,4169.415793318677,3139.4428756857465
48,4284.420917106063,4169.134324682331,3135.25643824187
49,4283.983327589519,4168.862118053261,3131.330010401892
50,4283.545820707152,4168.599571283776,3128.1335637039483
51,4283.10839657203,4168.3434909586595,3126.646574700757
52,4282.671055288993,4168.087972624277,3125.369901889294
53,4282.233796955168,4167.832901207589,3120.874053449744
54,4281.796621660448,4167.578561963925,3116.6125363776164
55,4281.359529487948,4167.324938015859,3110.436191245013
56,4280.922520514436,4167.071947029423,3107.4786621485855
57,4280.4855948107415,4166.819497157873,3103.46728338494
58,4280.048752442134,4166.567507554646,3100.2539255745387
59,4279.611993468687,4166.3159192745925,3093.7449979497183
60,4279.175317945608,4166.06470265199,3091.1553154359917
61,4278.738725923559,4165.8138626332875,3086.090095353546
62,4278.302217448956,4165.563442321222,3081.53498150452
63,4277.865792564235,4165.3135246724005,3076.256822508849
64,4277.429451308124,4165.064232247784,3071.924450584527
65,4276.993193715873,4164.815724961078,3064.93392438921
66,4276.557019819484,4164.568195845339,3061.0900614889874
67,4276.120929647919,4164.321864942844,3058.5114690939313
68,4275.684923227298,4164.076971511061,3054.963875467748
69,4275.249000581072,4163.833764830645,3051.100083359964
70,4274.8131617302,4163.592494015132,3046.387001097437
71,4274.377406693299,4163.353397409804,3041.9652247330264
72,4273.941735486792,4163.116692617546,3037.4209198175076
73,4273.506148125041,4162.88256969023,3034.832035801922
74,4273.070644620469,4162.651197065995,3030.4293438415734
75,4272.635224983676,4162.422813958273,3024.162619490731
76,4272.199889223549,4162.196398510048,3020.5197497832396
77,4271.764637347355,4161.968208441445,3016.0754754562277
78,4271.3294693608295,4161.738936679763,3012.075947520507
79,4270.89438526827,4161.508856954781,3006.3525523999133
80,4270.459385072601,4161.278126053675,3003.4706054437474
81,4270.024468775455,4161.046871831971,2998.8693150504046
82,4269.589636377231,4160.815213585456,2994.6364389286787
83,4269.15488787716,4160.58326819399,2989.8938959569223
84,4268.720223273356,4160.351152819246,2985.4324660588572
85,4268.285642562871,4160.118986808245,2982.1039776673424
86,4267.851145741741,4159.886893449465,2977.1103798117283
87,4267.416732805022,4159.655001672483,2972.368786119148
88,4266.982403746844,4159.423447626054,2967.6326776096384
89,4266.548158560437,4159.192376036259,2962.5132132765675
90,4266.113997238166,4158.961941253789,2957.7470351486536
91,4265.679919771563,4158.73230792099,2952.178293542326
92,4265.245926151357,4158.50365121494,2949.133111620757
93,4264.812016367498,4158.276156648614,2945.375972906877
94,4264.378190409177,4158.050019436103,2941.051544622106
95,4263.944448264857,4157.825443448624,2936.7023884900486
96,4263.510789922288,4157.602639805293,2932.8626570358792
97,4263.077215368518,4157.381825155676,2929.4070577694592
98,4262.643724589929,4157.163219720265,2926.5287345783263
99,4262.2103175722295,4156.947045159942,2920.8707508411053
100,4261.776994300487,4156.733118186202,2917.380281423956
101,4261.34375475913,4156.52171894411,2914.226763792828
102,4260.910598931967,4156.313104456627,2910.927152475268
103,4260.47752680219,4156.1075111312775,2907.609880071832
104,4260.044538352395,4155.905156635097,2902.1479598721035
105,4259.611633564581,4155.706240901663,2898.2493480075486
106,4259.178812420164,4155.510947121133,2894.386556193409
107,4258.746074899984,4155.319442354881,2891.56893237013
108,4258.31342098431,4155.131878243065,2886.7287271721707
109,4257.880850652851,4154.948390844393,2882.1220188111197
110,4257.448363884757,4154.769101229464,2877.636711733144
111,4257.015960658631,4154.594115764405,2873.6718824853488
112,4256.583640952527,4154.423526337054,2870.2610908497886
113,4256.151404743958,4154.257410201596,2865.5400114509553
114,4255.719252009903,4154.095830616762,2861.4976576229124
115,4255.287182726807,4153.938836028258,2858.1586699605646
116,4254.855196870589,4153.786460993148,2854.614848240503
117,4254.42329441664,4153.638725964561,2849.7144212173425
118,4253.991475339832,4153.4956390292255,2845.68458920646
119,4253.559739614518,4153.357194435767,2840.862509163172
120,4253.128087214534,4153.223373525906,2836.5523825138507
121,4252.6965181132055,4153.094144889857,2831.6132811622156
122,4252.265032283349,4152.969466339614,2829.032095775232
123,4251.833629697268,4152.849285358745,2823.46273740645
124,4251.402310326766,4152.733540284685,2818.934289799458
125,4250.971074143141,4152.622159778615,2815.786372847532
126,4250.539921117189,4152.515065837608,2812.335899099717
127,4250.108851219208,4152.4121745244265,2809.5721781096945
128,4249.677864419001,4152.313396335105,2806.2942416210453
129,4249.246960685868,4152.218635985792,2803.4509219340825
130,4248.816139988623,4152.127794661027,2799.7139424579805
131,4248.385402295586,4152.040770515509,2796.7694837264644
132,4247.954747574582,4151.9574591257915,2793.2506580267063
133,4247.5241757929525,4151.8777529219615,2789.2885181407983
134,4247.093686917549,4151.80154323737,2784.7052120990343
135,4246.6632809147395,4151.728720586748,2781.1495378839563
136,4246.232957750403,4151.659175120052,2776.924419752321
137,4245.80271738994,4151.59279607281,2773.8668589735157
138,4245.372559798267,4151.529473291336,2770.407988950433
139,4244.942484939822,4151.469097422682,2766.691533666824
140,4244.512492778563,4151.411560319205,2763.9004527279753
141,4244.082583277969,4151.3567542698665,2760.7254122072572
142,4243.65275640105,4151.304573449728,2756.6809360740017
143,4243.223012110332,4151.254913939607,2753.0225337756583
144,4242.793350367876,4151.207674029428,2748.830115613377
145,4242.363771135264,4151.162753457406,2745.6073528398274
146,4241.934274373613,4151.1200549718305,2742.4931527972376
147,4241.504860043569,4151.07948430895,2738.7154108283357
148,4241.075528105308,4151.040950302735,2735.282431382077
149,4240.646278518542,4151.004364170233,2732.481565406706
150,4240.217111242519,4150.969640433903,2728.605760836398
151,4239.788026236021,4150.936697106718,2725.124735098485
152,4239.359023457367,4150.905454717495,2720.578693063151
153,4238.930102864418,4150.875835665356,2716.929566231997
154,4238.501264414571,4150.847764724703,2712.476601529737
155,4238.072508064771,4150.821169286516,2708.772866108887
156,4237.643833771501,4150.795979320156,2704.960507703252
157,4237.215241490791,4150.772127435242,2701.2642973759293
158,4236.786731178216,4150.749548774848,2697.7391591379314
159,4236.358302788901,4150.728181117052,2694.329231442629
160,4235.929956277519,4150.707964820255,2690.9111874396667
161,4235.501691598289,4150.688842723748,2687.1496382817377
162,4235.07350870499,4150.670760133518,2683.580455773288
163,4234.645407550946,4150.653664815265,2679.9080691952167
164,4234.217388089046,4150.637506873043,2676.6474715208706
165,4233.789450271725,4150.622238705665,2672.492139033605
166,4233.3615940509835,4150.607814886876,2669.2698532905824
167,4232.933819378379,4150.594192175036,2665.6306723859034
168,4232.5061262050285,4150.581329412908,2661.8806790991484
169,4232.0785144816155,4150.569187410519,2658.4394976228023
170,4231.650984158386,4150.557728864332,2655.1897856193236
171,4231.223535185147,4150.546918322016,2651.390844754954
172,4230.796167511285,4150.536722056449,2648.0472146358634
173,4230.368881085743,4150.527108006373,2645.9988551227566
174,4229.941675857041,4150.518045666435,2644.194800803736
175,4229.514551773275,4150.509506089049,2641.7822632112066
176,4229.087508782109,4150.501461859823,2639.213118225085
177,4228.660546830783,4150.493886627045,2636.888827410812
178,4228.233665866118,4150.486755069858,2634.7611162266912
179,4227.806865834512,4150.480042946358,2632.7128613368986
180,4227.380146681946,4150.473727098562,2630.8600548606955
181,4226.953508353983,4150.467785441034,2628.3081119514795
182,4226.526950795768,4150.462196941116,2626.325691851349
183,4226.100473952038,4150.456941593901,2623.957042046067
184,4225.674077767112,4150.452000393779,2621.2827263199397
185,4225.247762184902,4150.447355303512,2619.5533929134726
186,4224.821527148911,4150.442989221451,2617.151146866924
187,4224.3953726022355,4150.438885947345,2614.9110440190534
188,4223.969298487568,4150.435030147393,2612.528187877663
189,4223.5433047472,4150.431407318753,2610.465622200256
190,4223.117391323017,4150.4280037538865,2608.0624233850413
191,4222.691558156509,4150.424806504886,2606.292225500086
192,4222.265805188772,4150.421803348226,2604.4522954622366
193,4221.840132360499,4150.418982750111,2602.3670565119287
194,4221.414539611996,4150.416333832513,2600.073812082844
195,4220.989026883174,4150.4138463400095,2598.099881508785
196,4220.56359411356,4150.411510607702,2595.9763189444184
197,4220.138241242285,4150.409317530219,2594.3324960397485
198,4219.712968208105,4150.407258531868,2592.1494294751487
199,4219.287774949382,4150.405325537921,2589.716108451154
200,4218.862661404104,4150.403510947147,2587.4593214435918
201,4218.437627509877,4150.401807605754,2585.34659986139
202,4218.01267320393,4150.400208782473,2582.9945641703225
203,4217.587798423115,4150.39870814478,2580.516823725741
204,4217.163003103914,4150.3972997362625,2578.4505162621294
205,4216.738287182434,4150.395977955123,2576.185586200713
206,4216.313650594417,4150.394737533779,2574.0612264293513
207,4215.889093275232,4150.393573519538,2572.2337127108067
208,4215.464615159892,4150.392481256306,2570.001925023584
209,4215.040216183035,4150.391456367292,2567.4794291392036
210,4214.615896278951,4150.390494738661,2565.6253195318523
211,4214.191655381564,4150.389592504094,2563.5515363113027
212,4213.767493424439,4150.3887460302285,2561.3296030027313
213,4213.343410340794,4150.387951902904,2559.1694014334203
214,4212.919406063494,4150.387206914201,2557.0576206540477
215,4212.495480525046,4150.386508050219,2554.9033341573127
216,4212.071633657618,4150.38585247956,2552.7756779523997
217,4211.647865393029,4150.385237542468,2550.536752226977
218,4211.224175662754,4150.3846607406085,2548.4230835657777
219,4210.800564397929,4150.384119727435,2546.3822666461747
220,4210.37703152935,4150.383612299116,2544.292364717097
221,4209.953576987474,4150.383136385997,2542.2534365296196
222,4209.5302007024275,4150.382690044556,2540.2410165892293
223,4209.106902604003,4150.3822714498365,2538.2740085691357
224,4208.683682621663,4150.381878888325,2536.079582596173
225,4208.260540684544,4150.381510751245,2534.062272477725
226,4207.837476721456,4150.381165528246,2531.917845882409
227,4207.414490660884,4150.380841801471,2529.6870057049086
228,4206.991582430998,4150.380538239972,2527.6981568660867
229,4206.568751959644,4150.380253594453,2525.6882128356146
230,4206.145999174353,4150.37998669233,2523.6075680273593
231,4205.723324002349,4150.379736433082,2521.4827704203663
232,4205.300726370533,4150.379501783883,2519.4976333060677
233,4204.878206205507,4150.379281775484,2517.445387218112
234,4204.4557634335615,4150.379075498352,2515.347942347033
235,4204.033397980686,4150.378882099036,2513.2747151003205
236,4203.611109772565,4150.378700776743,2511.099763615334
237,4203.188898734586,4150.378530780134,2509.024540177769
238,4202.766764791839,4150.378371404295,2506.997333072033
239,4202.344707869119,4150.378221987905,2505.0767014566577
240,4201.922727890928,4150.378081910568,2503.031361514093
241,4201.500824781482,4150.377950590301,2501.0667804169207
242,4201.078998464705,4150.377827481185,2499.052080324742
243,4200.6572488642405,4150.377712071146,2497.2155188509187
244,4200.235575903446,4150.377603879878,2495.2955666110215
245,4199.8139795054,4150.377502456891,2493.3059414420077
246,4199.392459592907,4150.377407379675,2491.3366929555987
247,4198.971016088493,4150.3773182519735,2489.2654366298502
248,4198.549648914412,4150.37723470217,2487.2278233486177
249,4198.12835799265,4150.3771563817645,2485.1962637638585
250,4197.707143244923,4150.3771563817645,2483.419444375122
