Dimension,Function,Adam Mean,Adam Std,Hybrid Mean,Hybrid Std,P-Value,Gain (%),All_Adam,All_Hybrid,log_p
50,rastrigin,-31.77080344154728,49.325909348989214,-49.082858769870185,62.65419980172093,0.5707503880581739,-54.490454925759,"[-56.943177439541785, -19.134929875476146, -86.79132543016362, -20.130021706377647, -70.8723344350731, 12.703516762692416, -34.059251073105415, 46.531652845558895, -116.63996034133095, 27.627796277344565]","[-37.04398594826452, -39.03385789498054, 25.637893459512213, -36.04890423843932, -87.78640603333764, -182.30683305822066, -12.170018261584062, -131.56436717610552, -0.23084985848926465, 9.718741311207367]",-0.24355378455701526
50,ackley,8.793518452805802,0.5247907001731494,8.565801556074597,0.5418471469369381,0.3846730627355087,2.5895993501059946,"[9.346278597349462, 7.856197821454964, 9.001073062640117, 9.379929969417951, 8.797741303255414, 8.797739746295129, 7.952196168156057, 9.459601585406144, 8.64038448313847, 8.704041790944299]","[8.28019271883636, 7.479756546118985, 8.28019199650783, 8.20063111206968, 9.20185356034151, 8.23619136256646, 9.044920963333242, 9.131260501541288, 9.194844754636788, 8.60817204479382]",-0.41490822470156924
50,schwefel,14751.0026829607,757.9233393850404,20751.879918735776,3.637978807091713e-12,6.386444750436982e-05,-40.68114801922213,"[14069.270607224813, 14260.503410800648, 15466.011563977576, 14480.91567480866, 15461.513518061342, 13725.170880919994, 15793.297577474797, 14303.477353303466, 15844.082490024275, 14105.783753011432]","[20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578]",-4.194740840582841
50,griewank,0.004188418565636132,0.0054021822756712525,0.006160004648183703,0.005425026903714483,0.7331503112076126,-47.072315742277574,"[4.762579974837422e-08, 0.009857284890370188, 1.8205480789568185e-08, 8.674102436323494e-09, 8.083388848278972e-07, 0.009857303679020268, 0.014772619986725188, 7.771561172376096e-16, 0.007396041579386892, 5.267659020091742e-08]","[0.0, 0.009857284607820871, 0.007396040334115117, 0.0, 0.0, 0.014772407722823067, 0.007396040334115117, 0.012320988875106798, 0.009857284607820871, 3.519406988061746e-14]",-0.13480697674255476
